1/2 Frequency,1/2 Frequency,1/2 Frequency,1/2 Frequency,1/2 Frequency,1/2 Frequency,1/2 Frequency,1/2 Frequency,1/2 Frequency
L2/L1=0.7,L2/L1=0.8,L2/L1=0.9,L2/L1=0.95,L2/L1=1,L2/L1=1.05,L2/L1=1.1,L2/L1=1.2,L2/L1=1.3
0.89,0.84,0.75,0.96,0.88,0.97,0.96,0.98,0.96
0.87,0.95,0.93,0.88,0.95,0.9,0.96,0.91,1.04
0.81,0.83,0.82,0.9,0.87,0.92,0.89,1.1,1.08
0.93,0.94,0.97,0.89,0.98,0.98,1,0.93,1.04
1.02,0.85,0.83,0.85,0.85,0.9,0.93,1.06,0.99
0.84,0.96,1.02,0.97,0.91,0.94,0.91,0.86,0.96
0.97,0.8,0.74,0.88,0.76,0.85,0.93,0.99,0.99
0.85,0.94,1.06,0.93,1,0.94,0.92,0.95,1.03
1.05,0.79,0.75,0.89,0.79,0.86,0.97,1.06,0.98
0.82,1.01,1.07,0.86,1.03,0.96,0.92,0.96,0.97
1.03,0.78,0.71,0.88,0.83,0.89,0.94,0.96,0.95
0.85,0.99,1.06,0.89,1.01,0.9,0.96,0.94,1.1
1.03,0.8,0.67,0.85,0.8,0.96,0.86,0.98,0.96
0.77,0.81,1.12,0.92,0.95,0.92,0.93,0.93,1.07
1.05,0.92,0.67,0.83,0.76,0.93,0.89,0.96,1
0.83,0.78,1.14,0.93,1.07,0.91,1,1.1,0.96
0.17,0.98,0.65,0.88,0.78,0.92,0.98,0.91,1.03
0.83,0.87,1.1,0.84,1.03,0.97,0.91,0.96,0.98
1.04,0.91,0.67,0.89,0.82,0.95,0.93,1,1.03
0.76,0.78,1,0.89,0.98,0.94,0.98,0.96,0.96
